event_month,region,n_events,n_unique_records,n_sites
2024-01,수도권,22,14,19
2024-01,지방,448,367,48
2024-02,수도권,49,24,26
2024-02,지방,137,122,23
2024-03,수도권,35,23,30
2024-03,지방,106,85,38
2024-04,수도권,42,22,37
2024-04,지방,343,333,42
2024-05,수도권,21,14,17
2024-05,지방,65,40,47
2024-06,수도권,45,29,33
2024-06,지방,59,23,26
2024-07,수도권,120,54,46
2024-07,지방,113,70,32
2024-08,수도권,40,25,30
2024-08,지방,45,31,32
2024-09,수도권,17,10,16
2024-09,지방,51,29,25
2024-10,수도권,18,12,16
2024-10,지방,49,26,32
2024-11,수도권,114,41,34
2024-11,지방,44,28,32
2024-12,수도권,67,50,40
2024-12,지방,835,314,105
2025-01,수도권,35,24,21
2025-01,지방,44,28,28
2025-02,수도권,27,14,21
2025-02,지방,63,33,39
2025-03,수도권,25,20,20
2025-03,지방,60,49,21
2025-04,수도권,54,28,46
2025-04,지방,40,28,23
2025-05,수도권,32,20,30
2025-05,지방,27,18,18
2025-06,수도권,33,24,19
2025-06,지방,70,49,32
2025-07,수도권,70,43,46
2025-07,지방,80,46,26
2025-08,수도권,46,33,30
2025-08,지방,96,43,38
2025-09,수도권,113,69,46
2025-09,지방,58,27,34
2025-10,수도권,116,68,37
2025-10,지방,62,25,39
2025-11,수도권,32,18,27
2025-11,지방,72,31,35
2025-12,수도권,316,96,33
2025-12,지방,221,175,59
2026-01,수도권,21,16,17
2026-01,지방,209,92,37
2026-02,수도권,56,33,23
2026-02,지방,93,45,34
2026-03,수도권,51,22,30
2026-03,지방,166,83,27
2026-04,수도권,13,7,12
2026-04,지방,55,45,21
2026-05,수도권,77,35,47
2026-05,지방,11,11,7
2026-06,수도권,59,37,13
2026-06,지방,40,24,20
