region,type_pf,year,n_prop,n_transitions,n_eval_pairs,months_obs_sum,months_eval_sum,reval_events,reval_down_events,impair_events,n_prop_yoy,bv_yoy_med_pct,reval_event_rate_pct,reval_down_rate_pct,impair_event_rate_pct,downval_events,downval_rate_per_month_pct
수도권,기타,2019,8,12,12,27.0,27.0,0,0,0,,,0.0,0.0,0.0,0,0.0
수도권,기타,2020,11,36,36,111.0,111.0,0,0,0,6.0,-0.24632565540966267,0.0,0.0,0.0,0,0.0
수도권,기타,2021,21,60,60,198.0,198.0,0,0,0,12.0,-0.8788471860814662,0.0,0.0,0.0,0,0.0
수도권,기타,2022,26,65,62,216.0,207.0,0,0,0,13.0,-0.6612581123366934,0.0,0.0,0.0,0,0.0
수도권,기타,2023,26,84,81,285.0,276.0,0,0,0,20.0,-0.897712125267347,0.0,0.0,0.0,0,0.0
수도권,기타,2024,53,116,51,360.0,159.0,0,0,0,25.0,-0.5463517800493478,0.0,0.0,0.0,0,0.0
수도권,기타,2025,41,113,0,339.0,0.0,0,0,0,2.0,-0.00015583082136894078,,,,0,nan
수도권,기타,2026,2,2,0,27.0,0.0,0,0,0,,,,,,0,nan
수도권,산업,2019,4,7,7,21.0,21.0,0,0,0,,,0.0,0.0,0.0,0,0.0
수도권,산업,2020,6,19,19,51.0,51.0,0,0,0,4.0,-1.676058270880998,0.0,0.0,0.0,0,0.0
수도권,산업,2021,21,56,56,147.0,147.0,0,0,0,8.0,-1.3569421040727392,0.0,0.0,0.0,0,0.0
수도권,산업,2022,36,113,113,342.0,342.0,0,0,0,21.0,-1.4787914350941511,0.0,0.0,0.0,0,0.0
수도권,산업,2023,39,147,147,459.0,459.0,0,0,0,34.0,-1.4386229168133258,0.0,0.0,0.0,0,0.0
수도권,산업,2024,42,149,99,459.0,303.0,0,0,0,38.0,-0.872559545924223,0.0,0.0,0.0,0,0.0
수도권,산업,2025,34,100,0,321.0,0.0,0,0,0,1.0,-1.0376158601885122,,,,0,nan
수도권,산업,2026,11,12,0,60.0,0.0,0,0,0,,,,,,0,nan
수도권,상업,2019,30,52,52,150.0,150.0,2,0,0,,,3.8461538461538463,0.0,0.0,0,0.0
수도권,상업,2020,49,125,125,402.0,402.0,2,0,0,32.0,-1.0115848942779115,1.6,0.0,0.0,0,0.0
수도권,상업,2021,39,122,122,378.0,378.0,2,0,0,33.0,-0.9230769230769265,1.639344262295082,0.0,0.0,0,0.0
수도권,상업,2022,41,134,123,411.0,378.0,0,0,0,33.0,-1.290132842065539,0.0,0.0,0.0,0,0.0
수도권,상업,2023,42,154,142,462.0,426.0,0,0,0,37.0,-1.188442784503485,0.0,0.0,0.0,0,0.0
수도권,상업,2024,39,140,77,426.0,231.0,2,0,0,36.0,-0.6538642190511978,2.5974025974025974,0.0,0.0,0,0.0
수도권,상업,2025,39,128,0,393.0,0.0,0,0,0,,,,,,0,nan
수도권,상업,2026,30,31,0,102.0,0.0,0,0,0,,,,,,0,nan
수도권,숙박,2019,8,14,14,42.0,42.0,1,1,0,,,7.142857142857142,7.142857142857142,0.0,1,2.380952380952381
수도권,숙박,2020,8,26,26,81.0,81.0,0,0,0,8.0,-0.6856359109537247,0.0,0.0,0.0,0,0.0
수도권,숙박,2021,6,22,19,66.0,57.0,0,0,0,6.0,-1.1244196144452878,0.0,0.0,0.0,0,0.0
수도권,숙박,2022,4,16,16,48.0,48.0,0,0,0,4.0,-1.1372416900275795,0.0,0.0,0.0,0,0.0
