axis,metric,reits,pf,note
구성,수도권 비중 %,79.8,39.2,
지리 위계,광역시 거리 km(중앙),12.44,27.575,
지리 위계,광역시 15km 이내 %,59.0,23.0,
지리 위계,도시(25만+) 거리 km(중앙),7.08,7.720000000000001,거의 무차이 — 위계가 갈림
지리 위계,고속도로 IC 거리 km(중앙),1.59,2.39,
규모,자산가액 억원(중앙),800.0,218.0,"리츠=장부가, PF=감정가"
규모,토지면적 ㎡(중앙),11092.0,6506.0,
완공 상태,건물 연면적 기재 %,95.0,36.0,완공 임대자산 vs 개발단계
유형 구성,주거 %,54.5,56.6,구성은 유사 — 유형이 부실을 가르지 않음
유형 구성,업무 %,17.6,9.8,구성은 유사 — 유형이 부실을 가르지 않음
유형 구성,상업 %,10.2,12.8,구성은 유사 — 유형이 부실을 가르지 않음
유형 구성,산업 %,6.6,8.6,구성은 유사 — 유형이 부실을 가르지 않음
유형 구성,숙박 %,2.7,4.8,구성은 유사 — 유형이 부실을 가르지 않음
