site_id,dist_ic_km,ic_name,dist_city_km,city_name,city_pop_10k,dist_metro_km,metro_name
S0142A33E,2.77,학익분기점,7.05,인천,301,7.05,인천
S014CC9DE,2.42,남풍세,10.47,천안,66,31.23,세종
S01B649CC,3.79,북양양IC,54.59,강릉,21,158.01,서울
S02C32278,3.74,아산 나들목,3.81,아산,35,45.4,세종
S02E285C7,0.91,동김천IC,15.07,구미,41,47.52,대구
S030F6D19,3.99,독립기념관IC,15.2,천안,66,29.75,세종
S03652A61,2.24,북현풍하이패스,23.53,대구,236,23.53,대구
S04F4AA2B,0.82,북천안,11.93,천안,66,47.23,세종
S05264363,0.68,물금,3.27,양산,35,16.19,부산
S06A76971,0.79,남장유,7.73,김해,53,23.15,부산
S07008417,0.48,산본,2.37,안양,55,21.12,서울
S07631617,8.76,청량,11.15,울산,110,11.15,울산
S081A389E,2.55,덕천,8.13,부산,329,8.13,부산
S0840E617,1.69,오산,15.25,평택,59,49.28,인천
S0855FD8D,20.81,길호IC,6.64,여수,27,92.61,광주
S08DE5D74,0.79,동신교지하차도,1.82,대구,236,1.82,대구
S0971DF3D,1.31,신천IC,6.96,부천,77,7.0,인천
S0A6CC8C6,1.92,하조대IC,33.55,강릉,21,161.21,서울
S0B32AC2A,4.52,시화 나들목,12.63,시흥,52,15.21,인천
S0C083C68,3.45,유성IC,5.06,대전,144,5.06,대전
S0C556870,2.07,영천분기점,23.11,경주,25,34.98,대구
S0CD975EF,0.99,석전교차로,16.33,광주,141,16.33,광주
S0DE05765,0.81,대리교차로,5.63,김해,53,23.39,부산
S0DF491F1,3.36,연화교차로,1.69,포항,49,54.75,울산
S0EE4E155,0.29,수석,5.37,남양주,73,17.94,서울
S0EF9B6E7,0.57,신천교차로,18.1,광주,141,18.1,광주
S0F484014,0.41,여의상류IC,6.76,서울,933,6.76,서울
S0F6BBBAC,1.05,신천교지하차도,2.08,대구,236,2.08,대구
S0F822031,5.63,아산현충사 나들목,5.81,천안,66,45.0,세종
S0FD4C0C8,7.69,남공주,12.34,세종,39,12.34,세종
S10337289,0.73,부평교차로,10.4,남양주,73,27.08,서울
S106219CB,1.15,남원주 나들목,2.61,원주,36,89.24,서울
S106F6247,2.1,용곡2교차로,4.46,천안,66,36.92,세종
S10811092,20.69,길호IC,2.5,여수,27,88.35,광주
S125500D4,4.84,망미램프,8.21,부산,329,8.21,부산
S126B4694,1.29,북오산나들목,8.89,수원,119,42.5,서울
S1638CC83,1.56,서광주,2.46,광주,141,2.46,광주
S1682CEAB,1.85,울산 분기점,2.55,울산,110,2.55,울산
S16E31147,3.14,학익분기점,7.22,인천,301,7.22,인천
S17278CE2,20.39,광평교차로,26.35,제주,49,212.52,광주
S17D1F372,2.37,용곡2교차로,3.76,천안,66,37.8,세종
S17FD9CBE,0.54,별내,9.52,남양주,73,16.64,서울
S181CC42E,36.69,광령2교차로,31.63,제주,49,202.22,광주
