site_id,n_months,first_month,last_month,max_round,n_bid_cut,n_reappraisal,exited,reactivated,excess_pp,appr_vs_rtms,region,sido,sgg,biz_class,biz_type,lon,lat,appraisal_first,appraisal_last,min_bid_first,min_bid_last,discount_last,land_chg_cum12_last,minbid_drop_pct,address,outcome,sale_price_mn,sale_dt,sale_to_appraisal_pct,n_rounds_observed,n_fail
S010F3641,5,2026-02,2026-06,,0,0,0,,,1.1654417139790594,수도권,경기도,파주시,상업시설,66-물류센터,,,15827.0,15827.0,11014.0,11014.0,0.6958994123965375,1.763,0.0,경기도 파주시 맥금동 513-6 외,유찰만,,,,6.0,6.0
S0142A33E,12,2025-02,2026-05,2.0,2,1,1,0.0,-32.22686196249216,1.3884293846246654,수도권,인천광역시,중구,상업시설,25-상가,126.626110732961,37.4474310123446,19440.0,19199.557,13050.0,9800.0,0.5104284437396134,0.922,-24.904214559386972,인천 중구 신흥동3가 47-5번지 일원,유찰만,,,,12.0,11.0
S014CC9DE,5,2025-12,2026-04,,0,0,1,0.0,,0.3060362697386407,지방,충청남도,천안시,주거시설,11-아파트,127.109393960728,36.721019279094,37230.0,37230.0,,,,1.416,,천안시 풍세면 보성리 산35-1번지 일원,,,,,,
S01B649CC,2,2026-05,2026-06,,0,0,0,,,6.67073361410315,지방,강원도,속초시,숙박시설,45-기타숙박시설,128.595646011584,38.190241413147,7171.0,7171.0,,,,1.957,,강원 속초시 조양동 1412-1번지,,,,,,
S0217152D,17,2025-01,2026-06,2.0,1,2,0,,31.428678300540177,39.29894059769583,지방,전라남도,목포시,숙박시설,41-호텔,,,85567.0,59371.0,60000.0,55150.0,0.9289046841050344,0.324,-8.083333333333332,목포시 상락동 1가 6-1,유찰만,,,,26.0,26.0
S02C32278,1,2026-06,2026-06,,0,0,0,,,0.0292863965862488,지방,충청남도,아산시,주거시설,11-아파트,126.959032389001,36.7908320286333,481.21,481.21,,,,2.082,,충남아산시신창면남성리130-6번지,,,,,,
S02E285C7,3,2025-02,2025-04,1.0,0,1,1,0.0,,6.400602409638553,지방,경상북도,김천시,상업시설,26-기타상업시설,128.177037637253,36.1259118863519,3400.0,4754.0,2377.0,2377.0,0.5,1.232,0.0,경북 김천시 율곡동 1094,,,,,,
S02E37C4D,4,2026-03,2026-06,,1,0,0,,,1.7607963023467703,수도권,경기도,김포시,주거시설,15-타운하우스,,,33533.974,33533.974,9832.760825,11513.0,0.3433234605597296,2.125,17.088172944550408,경기도 김포시 양촌읍 석모리 1061-15 외,유찰만,,,,8.0,7.0
S030F6D19,14,2025-02,2026-06,,0,1,0,,,1.2033063946901827,지방,충청남도,천안시,산업시설,66-물류센터,127.26163404468,36.7466660580036,34788.805,36712.0,36712.0,36712.0,1.0,1.4220000000000002,0.0,충청남도 천안시 동남구 수신면 신풍리 241-5 외 67필지,,,,,,
S033393F7,1,2025-12,2025-12,,0,0,1,0.0,,16.124687294272547,지방,부산광역시,사상구,주거시설,11-아파트,,,38007.0,38007.0,,,,1.262,,부산 사상구 괘법동   822-2,,,,,,
S03652A61,14,2025-04,2026-06,,0,0,0,,-2.115718688225088,4.0447361853759825,지방,대구광역시,달성군,기타시설,71-의료시설,128.458670463198,35.6942998017756,39949.0,39949.0,,,,0.646,,대구 달성군 유가읍 봉리 599,유찰만,,,,6.0,5.0
S04F4AA2B,1,2025-02,2025-02,,0,0,1,0.0,,1.058381018878687,지방,충청남도,천안시,기타시설,66-물류센터,127.198187368663,36.8984991508224,18072.0,18072.0,,,,1.661,,충남 천안시 성거읍 모전리 280-3번지 일원,,,,,,
S0519F4C5,4,2025-01,2025-04,,0,0,1,0.0,,6.56851144948048,지방,울산광역시,북구,업무시설,31-오피스텔,,,18702.558,18703.0,,,,0.6389999999999999,,울산광역시 북구 송정동 1231-2번지,,,,,,
S05264363,12,2025-02,2026-02,,0,0,1,0.0,,13.119897091479324,지방,경상남도,양산시,주거시설,11-아파트,129.010562287908,35.315183369015,31045.0,31045.0,27746.0,27746.0,0.8937349009502336,0.571,0.0,"경남 양산 물금읍 범어리 2783-2, 3번지",,,,,,
S06A76971,2,2025-01,2025-02,8.0,0,0,1,0.0,6.481369572972513,4.385682528654291,지방,경상남도,김해시,주거시설,11-아파트,128.821048037724,35.1870423325047,86934.562675,86935.0,57674.6326,57675.0,0.6634266981077817,1.798,0.000637021829952289,경상남도 김해시 신문동 625번지 일원,유찰만,,,,9.0,9.0
S06D4E6D7,3,2025-04,2025-06,,0,0,1,0.0,-5.801217219931498,23.52358592365213,수도권,경기도,광주시,업무시설,31-오피스텔,,,22006.0,22006.0,13728.12,13728.12,0.6238353176406435,2.211,0.0,경기 광주시 퇴촌면 광동리 194 외 2필지,유찰만,,,,6.0,5.0
S07008417,4,2025-01,2025-08,1.0,0,0,1,0.0,,1.6589178134926805,수도권,경기도,안양시,주거시설,11-아파트,126.937847195727,37.3792142416382,5848.715,5849.0,2994.541959,2994.541959,0.5119999793116949,2.4730000000000003,0.0,안양시 만안구 안양동 369-6,,,,,,
S071CA5E4,6,2025-04,2026-06,,0,0,0,,,3.1090118359493175,수도권,경기도,부천시,주거시설,31-오피스텔,,,6581.0,6581.0,,,,2.536,,경기도 부천시 원미구 심곡동 129-8,,,,,,
S073B2D26,4,2026-03,2026-06,,0,0,0,,,,지방,강원도,춘천시,레져시설,51-골프장,,,,,,,,1.172,,강원도 춘천시 동산면 군자리 산129-11,,,,,,
S07631617,7,2025-08,2026-06,,3,0,0,,4.610173565060812,6.1166728533010115,지방,울산광역시,동구,주거시설,31-오피스텔,129.431814104858,35.5170828820955,18210.0,18210.0,10400.0,6859.0,0.3766611751784733,0.58,-34.04807692307692,울산시 전하동 300-17외 11필지,유찰만,,,,9.0,9.0
S076A1CAD,6,2025-02,2025-07,4.0,0,0,1,0.0,,2.938406538718394,지방,강원도,원주시,주거시설,11-아파트,,,8973.0,8973.0,3078.0,3078.0,0.3430290872617854,1.09,0.0,강원도 원주시 무실동 127-2번지 외 11필지,,,,,,
S081A389E,2,2025-01,2025-04,,0,0,1,0.0,-0.9867929931315632,2.2163417077465946,지방,부산광역시,사상구,주거시설,11-아파트,128.988077123419,35.1949526529458,3492.14,3492.0,2066.0,2066.0,0.5916380297823597,1.298,0.0,부산 사상구 모라동 271-11번지,낙찰,2500.0,2025-04-30 10:00:00,71.59,18.0,11.0
S0840E617,16,2025-02,2026-06,,0,0,0,,,1.3448649118671447,수도권,경기도,평택시,상업시설,21-근린생활시설,127.076993688195,37.1262493048811,10008.0,10008.0,,,,0.5599999999999999,,경기 평택시 진위면 엘지로 107,,,,,,
S0855FD8D,1,2025-05,2025-05,,0,0,1,0.0,,0.669213977229858,지방,전라남도,여수시,주거시설,12-주상복합,127.730475604186,34.7400407433562,130.1854581,130.1854581,4557.19134,4557.19134,,0.882,0.0,"전라남도 여수시 교동 630, 634",유찰만,,,,14.0,14.0
S08DE5D74,16,2025-02,2026-06,,1,0,0,,,1.6814143433525799,지방,대구광역시,수성구,주거시설,11-아파트,128.620933099166,35.8672594607365,47373.0,47373.0,16200.0,11300.0,0.2385324974141388,1.51,-30.246913580246915,수성구 범어동 1801 일원,,,,,,
S094DADA7,2,2025-01,2025-05,,0,0,1,0.0,,2.4853572539039543,수도권,경기도,의정부시,주거시설,11-아파트,,,10607.301,10607.0,,,,1.612,,경기도 의정부시 가능동 604-3,,,,,,
S0956FC65,4,2025-01,2025-04,4.0,0,0,1,1.0,,1.7641168936599299,수도권,경기도,시흥시,주거시설,16-기타주거시설,,,3699.414,3699.0,1268.899,1268.0,0.3427953500946201,3.0120000000000005,-0.07084882248310498,경기도 시흥시 정왕동 2692-3,,,,,,
S0971DF3D,8,2025-02,2025-11,1.0,2,1,1,0.0,11.9247863203729,7.075145213925969,수도권,경기도,시흥시,주거시설,31-오피스텔,126.782499591973,37.4421890562098,21684.0,21816.0,16096.0,13263.0,0.607948294829483,2.842,-17.600646123260432,시흥시 신천동 713번지외 5필지,유찰만,,,,24.0,24.0
S09F44B51,1,2025-08,2025-08,,0,0,1,0.0,,0.3078997542385056,지방,세종특별자치시,세종,주거시설,15-타운하우스,,,13840.0,13840.0,,,,1.331,,세종시 장군면 용현리 170-13일원,,,,,,
S0A6CC8C6,13,2025-05,2026-06,,0,0,0,,,6.358508284288525,지방,강원도,양양군,숙박시설,42-콘도,128.71795296444,38.0266103270123,100387.0,100387.0,53706.0,53706.0,0.5349895902855948,2.182,0.0,"강원도 현북면 하광정리 591외, 중광정리 508외",유찰만,,,,24.0,24.0
S0A6FAD7F,1,2026-06,2026-06,,0,0,0,,,0.6625427579516978,수도권,경기도,남양주시,산업시설,66-물류센터,,,55075.9,55075.9,,,,2.33,,경기도 남양주시 진전읍 팔야리 산48-1번지 일원,,,,,,
S0A7A5F4E,1,2026-04,2026-04,,0,0,1,0.0,,7.26685339862266,수도권,경기도,양주시,기타시설,61-공장설립,,,61100.0,61100.0,29136.0,29136.0,0.4768576104746317,1.101,0.0,경기도 양주시 광적면 우고리 120-1,유찰만,,,,21.0,20.0
S0ADB789F,8,2025-01,2025-08,2.0,1,0,1,0.0,7.013296545619268,1.3217850307301138,수도권,경기도,광명시,주거시설,13-연립주택,,,23176.0,23100.0,20335.3,15034.0,0.6508225108225109,3.2089999999999996,-26.069445742133134,경기도 광명시 광명동 752-3번지,유찰만,,,,15.0,14.0
S0B1656E8,4,2025-01,2025-04,2.0,1,0,1,0.0,-7.25302655083685,0.24774453124712176,수도권,경기도,과천시,주거시설,14-다세대주택,,,12614.803,12615.0,5000.0,4500.0,0.356718192627824,3.364,-9.999999999999998,경기도 과천시 문원동 328-1번지 외 3필지,낙찰,4621.0,2025-04-22 09:00:00,36.63,21.0,20.0
