site_id,month_key,line_id,prev_month,sido,region,biz_class,biz_type,event,value_prev,value_new,pct_change,suspect
S0142A33E,2025-05,0,2025-04,인천광역시,수도권,상업시설,26-기타상업시설,bid_cut,13050.0,11745.0,-0.09999999999999998,
S0142A33E,2026-03,0,2025-11,인천광역시,수도권,상업시설,25-상가,reappraisal,19440.0,19199.557,-0.012368467078189282,
S0142A33E,2026-03,0,2025-11,인천광역시,수도권,상업시설,25-상가,bid_cut,11745.0,9800.0,-0.1656023839931886,
S0217152D,2025-02,0,2025-01,전라남도,지방,숙박시설,41-호텔,bid_cut,60000.0,55150.0,-0.08083333333333331,
S0217152D,2025-08,0,2025-07,전라남도,지방,숙박시설,41-호텔,reappraisal,85567.0,59371.0,-0.30614606098145314,
S0217152D,2026-04,0,2026-03,전라남도,지방,숙박시설,41-호텔,reappraisal,85567.0,59371.0,-0.30614606098145314,
S02E285C7,2025-04,0,2025-03,경상북도,지방,상업시설,26-기타상업시설,reappraisal,3400.0,4754.0,0.398235294117647,
S02E37C4D,2026-04,0,2026-03,경기도,수도권,주거시설,15-타운하우스,bid_cut,9832.760825,4876.0,-0.5041067217253299,
S02E37C4D,2026-05,0,2026-04,경기도,수도권,주거시설,15-타운하우스,bid_reset,4876.0,9832.760825,1.0165629255537323,
S02E37C4D,2026-06,0,2026-05,경기도,수도권,주거시설,15-타운하우스,bid_reset,9832.760825,11513.0,0.17088172944550406,
S030F6D19,2026-05,0,2026-02,충청남도,지방,산업시설,66-물류센터,reappraisal,34788.805,36712.0,0.055282008105768554,
S07631617,2025-11,0,2025-10,울산광역시,지방,주거시설,31-오피스텔,bid_cut,10400.0,8420.0,-0.19038461538461537,
S07631617,2026-05,0,2026-01,울산광역시,지방,주거시설,31-오피스텔,bid_cut,8420.0,7600.0,-0.09738717339667458,
S07631617,2026-06,0,2026-05,울산광역시,지방,주거시설,31-오피스텔,bid_cut,7600.0,6859.0,-0.09750000000000003,
