site_id,sido,region,address,addr_norm,biz_class,biz_type,land_area_m2,bldg_area_m2,trustee,agent_org,constr_status_last,permit_yn_last,first_month,last_month,n_months,appraisal_first_mn,appraisal_last_mn,min_bid_first_mn,min_bid_last_mn,onbid_no_any,onbid_cltr_no,onbid_cltr_nos_all,onbid_plnm_no_last,onbid_pbct_no_last
S010F3641,경기도,수도권,경기도 파주시 맥금동 513-6 외,파주시맥금동513-6,상업시설,66-물류센터,21678.0,,농협은행,중앙농협,착공 전,Y,2026-02,2026-06,5,15827.0,15827.0,11014.0,11014.0,,,,837530,9964582
S0142A33E,인천광역시,수도권,인천 중구 신흥동3가 47-5번지 일원,중구신흥동3가47-5,상업시설,25-상가,7773.1,5566.0,우리자산신탁,KA17유동화전문유한회사,착공 전,Y,2025-02,2026-05,12,19440.0,19199.557,13050.0,9800.0,,,,846520,9985812
S014CC9DE,충청남도,지방,천안시 풍세면 보성리 산35-1번지 일원,천안시풍세면보성리산35-1,주거시설,11-아파트,394570.0,,,우리들새마을금고,착공 전,N,2025-12,2026-04,5,37230.0,37230.0,,,,,,,
S01B649CC,강원도,지방,강원 속초시 조양동 1412-1번지,속초시조양동1412-1,숙박시설,45-기타숙박시설,1022.0,,무궁화신탁,하나저축은행,공사진행 중,Y,2026-05,2026-06,2,7171.0,7171.0,,,,,,,
S0217152D,전라남도,지방,목포시 상락동 1가 6-1,목포시상락동1가6-1,숙박시설,41-호텔,4163.0,31205.003,케이비부동산신탁,목포중앙새마을금고,완공,Y,2025-01,2026-06,17,85567.0,59371.0,60000.0,55150.0,,1761064,1761064,804757,9890978
S02C32278,충청남도,지방,충남아산시신창면남성리130-6번지,아산시신창면남성리130-6,주거시설,11-아파트,52782.0,,하나자산신탁,케이비증권,착공 전,Y,2026-06,2026-06,1,481.21,481.21,,,,,,,
S02E285C7,경상북도,지방,경북 김천시 율곡동 1094,김천시율곡동1094,상업시설,26-기타상업시설,5312.0,,캠코(한국자산관리공사),알찬새마을금고,공사진행 중,Y,2025-02,2025-04,3,3400.0,4754.0,2377.0,2377.0,,1827357,1827357,814603,9889832
S02E37C4D,경기도,수도권,경기도 김포시 양촌읍 석모리 1061-15 외,김포시양촌읍석모리1061-15,주거시설,15-타운하우스,22233.0,,무궁화신탁,KA17유동화전문유한회사,착공 전,Y,2026-03,2026-06,4,33533.974,33533.974,9832.760825,11513.0,,,,782782,9842973
S030F6D19,충청남도,지방,충청남도 천안시 동남구 수신면 신풍리 241-5 외 67필지,천안시동남구수신면신풍리241-5,산업시설,66-물류센터,117780.0,143037.65,,고산농협,착공 전,Y,2025-02,2026-06,14,34788.805,36712.0,36712.0,36712.0,,,,,
S033393F7,부산광역시,지방,부산 사상구 괘법동   822-2,사상구괘법동822-2,주거시설,11-아파트,1116.0,10173.0,신영부동산신탁,온천3동새마을금고,완공,Y,2025-12,2025-12,1,38007.0,38007.0,,,,,,,
