site_id,n_rounds_observed,n_fail,outcome,last_opbd_dt,last_status,onbid_appraisal_mn,min_bid_last_mn,match_via,sale_price_mn,sale_dt,sale_round_appraisal_mn,sale_to_appraisal_pct,sale_to_minbid_pct,n_valid_bidders,n_sold_rounds,address,biz_class,sido,region,first_month,last_month,n_months,kfb_appraisal_last_mn,kfb_min_bid_last_mn,exited,sale_scope
S010F3641,6,6,유찰만,2025-11-10 10:00:00,유찰,,11014.0,plnm,,,,,,,,경기도 파주시 맥금동 513-6 외,상업시설,경기도,수도권,2026-02,2026-06,5,15827.0,11014.0,False,
S0142A33E,12,11,유찰만,2025-11-13 09:00:00,수의계약가능,19199.557,9800.0,plnm,,,,,,,,인천 중구 신흥동3가 47-5번지 일원,상업시설,인천광역시,수도권,2025-02,2026-05,12,19199.557,9800.0,True,
S0217152D,26,26,유찰만,2026-03-24 09:00:00,유찰,85567.0,55150.0,cltr,,,,,,,,목포시 상락동 1가 6-1,숙박시설,전라남도,지방,2025-01,2026-06,17,59371.0,55150.0,False,
S02E37C4D,8,7,유찰만,2024-08-27 09:30:00,유찰,9516.59,5057.506106,plnm,,,,,,,,경기도 김포시 양촌읍 석모리 1061-15 외,주거시설,경기도,수도권,2026-03,2026-06,4,33533.974,11513.0,False,
S03652A61,6,5,유찰만,2025-06-12 10:00:00,수의계약가능,39949.812,24769.462712,cltr,,,,,,,,대구 달성군 유가읍 봉리 599,기타시설,대구광역시,지방,2025-04,2026-06,14,39949.0,,False,
S06A76971,9,9,유찰만,2025-02-12 09:00:00,유찰,86934.562675,57674.6326,plnm,,,,,,,,경상남도 김해시 신문동 625번지 일원,주거시설,경상남도,지방,2025-01,2025-02,2,86935.0,57675.0,True,
S06D4E6D7,6,5,유찰만,2025-05-14 10:00:00,수의계약가능,22006.0,13017.5,plnm,,,,,,,,경기 광주시 퇴촌면 광동리 194 외 2필지,업무시설,경기도,수도권,2025-04,2025-06,3,22006.0,13728.12,True,
S07631617,9,9,유찰만,2026-05-29 09:00:00,유찰,18210.39004,6859.0,plnm,,,,,,,,울산시 전하동 300-17외 11필지,주거시설,울산광역시,지방,2025-08,2026-06,7,18210.0,6859.0,False,
S081A389E,18,11,낙찰,2025-05-07 10:00:00,취소,3492.14,2243.862,cltr,2500.0,2025-04-30 10:00:00,3492.14,71.59,100.27,1.0,1.0,부산 사상구 모라동 271-11번지,주거시설,부산광역시,지방,2025-01,2025-04,2,3492.0,2066.0,True,전체매각추정
S0855FD8D,14,14,유찰만,2025-03-10 13:00:00,유찰,7633.89045,4557.19134,plnm,,,,,,,,"전라남도 여수시 교동 630, 634",주거시설,전라남도,지방,2025-05,2025-05,1,130.1854581,4557.19134,True,
S0971DF3D,24,24,유찰만,2025-06-05 10:00:00,유찰,21816.8,13263.28,cltr;plnm,,,,,,,,시흥시 신천동 713번지외 5필지,주거시설,경기도,수도권,2025-02,2025-11,8,21816.0,13263.0,True,
S0A6CC8C6,24,24,유찰만,2025-07-10 09:00:00,유찰,,19833.3,plnm,,,,,,,,"강원도 현북면 하광정리 591외, 중광정리 508외",숙박시설,강원도,지방,2025-05,2026-06,13,100387.0,53706.0,False,
S0A7A5F4E,21,20,유찰만,2024-11-18 09:00:00,수의계약가능,61100.0,29136.9,cltr,,,,,,,,경기도 양주시 광적면 우고리 120-1,기타시설,경기도,수도권,2026-04,2026-04,1,61100.0,29136.0,True,
S0ADB789F,15,14,유찰만,2025-02-12 09:00:00,수의계약가능,23176.0,15034.7,cltr,,,,,,,,경기도 광명시 광명동 752-3번지,주거시설,경기도,수도권,2025-01,2025-08,8,23100.0,15034.0,True,
S0B1656E8,21,20,낙찰,2025-04-22 09:00:00,낙찰,12614.803,4610.0,plnm,4621.0,2025-04-22 09:00:00,12614.803,36.63,100.24,1.0,1.0,경기도 과천시 문원동 328-1번지 외 3필지,주거시설,경기도,수도권,2025-01,2025-04,4,12615.0,4500.0,True,전체매각추정
S0B32AC2A,17,16,유찰만,2025-04-09 10:00:00,수의계약가능,107305.549,65277.0,plnm,,,,,,,,"경기도 시흥시 정왕동 2724, 2724-1",숙박시설,경기도,수도권,2025-01,2026-06,9,108240.0,65277.0,False,
S0C083C68,10,9,유찰만,2024-12-24 10:00:00,수의계약가능,14531.44,9900.0,plnm,,,,,,,,유성구 용계동 667-8,업무시설,대전광역시,지방,2025-01,2026-04,15,14531.44,9900.0,True,
S0C556870,18,18,유찰만,2025-04-24 09:00:00,유찰,33131.9134,13889.9,cltr,,,,,,,,경상북도 영천시 북안면 송포리 산92 외 46필지,레져시설,경상북도,지방,2025-04,2025-04,1,33132.0,29537.0,True,
