site_id,onbid_cltr_no,onbid_pbanc_no,pbct_cdtn_no,ym,round_no,round_c,usage_mid,region_p,status_nm,appraisal_mn,min_bid_mn,disc,mkt_disc_med,match_level,excess_pp,line_id
S27450A1B,1722146,742189,4456786,202401,7,7,토지,수도권,유찰,19036.563,13325.5941,0.7000000000000001,0.6377281071817255,L3,6.227189281827461,0.0
S27450A1B,1722146,742189,4456785,202401,6,6,토지,수도권,유찰,19036.563,14277.42225,0.75,0.7,L3,5.000000000000004,0.0
S27450A1B,1722146,742189,4456784,202401,5,5,토지,수도권,유찰,19036.563,15229.2504,0.8000000000000002,0.7392305274531047,L3,6.076947254689546,0.0
S0A7A5F4E,1748972,756317,4695708,202402,3,3,용도복합용건물,수도권,유찰,61100.0,53054.4,0.8683207855973814,0.8869257950530035,L3,-1.8605009455622157,0.0
S0A7A5F4E,1748972,756317,4695707,202402,2,2,용도복합용건물,수도권,유찰,61100.0,58949.3,0.9648003273322423,0.9612403100775194,L3,0.35600172547228803,0.0
S0A7A5F4E,1748972,756317,4695706,202402,1,1,용도복합용건물,수도권,유찰,61100.0,65499.2,1.0719999999999998,1.0,L3,7.199999999999984,0.0
S45CB5324,1747098,755001,4689252,202402,5,5,산업용및기타특수용건물,수도권,유찰,87100.0,92959.496481,1.0672732087370838,0.7272254335260115,L3,34.00477752110722,0.0
S45CB5324,1747098,755001,4689251,202402,4,4,산업용및기타특수용건물,수도권,유찰,87100.0,95243.85,1.0935000000000001,0.7978947368421052,L3,29.56052631578949,0.0
S550D0D46,1704776,753628,4677207,202402,5,5,토지,수도권,유찰,62315.14,44973.459689,0.7217099999935811,0.7392305274531047,L3,-1.7520527459523594,0.0
S45CB5324,1747098,755001,4689250,202402,3,3,산업용및기타특수용건물,수도권,유찰,87100.0,105826.5,1.215,0.8694135815527819,L3,34.55864184472182,0.0
S550D0D46,1704776,753628,4677206,202402,4,4,토지,수도권,유찰,62315.14,49970.510766,0.8019,0.8035567191126581,L3,-0.16567191126581893,0.0
S45CB5324,1747098,755001,4689249,202402,2,2,산업용및기타특수용건물,수도권,유찰,87100.0,117585.0,1.35,0.9521276595744681,L3,39.7872340425532,0.0
S550D0D46,1704776,753628,4677205,202402,3,3,토지,수도권,유찰,62315.14,55522.78974,0.891,0.875227357200723,L3,1.5772642799277037,0.0
S45CB5324,1747098,755001,4689248,202402,1,1,산업용및기타특수용건물,수도권,유찰,87100.0,130650.0,1.5,1.0,L3,50.0,0.0
S550D0D46,1704776,753628,4677204,202402,2,2,토지,수도권,유찰,62315.14,61691.9886,0.99,0.9492064579148227,L3,4.079354208517727,0.0
S550D0D46,1704776,753628,4677203,202402,1,1,토지,수도권,유찰,62315.14,68546.654,1.0999999999999999,1.0,L3,9.999999999999986,0.0
SE277C0C6,1753119,758853,4717368,202403,3,3,토지,수도권,유찰,2300.142,1863.6,0.8102108478520021,0.875227357200723,L3,-6.5016509348720835,0.0
S3A620A12,1755687,760226,4725240,202403,7,7,토지,수도권,유찰,70119.834,46251.7,0.6596093767135843,0.6377281071817255,L3,2.188126953185887,0.0
S3A620A12,1755687,760226,4725239,202403,6,6,토지,수도권,유찰,70119.834,50519.1,0.7204680490259003,0.7,L3,2.046804902590038,0.0
S3A620A12,1755687,760226,4725238,202403,5,5,토지,수도권,유찰,70119.834,55180.3,0.7869428213421041,0.7392305274531047,L3,4.771229388899945,0.0
S0D902046,1754463,759554,4722668,202403,7,7,토지,수도권,유찰,10878.675,7226.717399,0.6643012498305171,0.6377281071817255,L3,2.6573142648791626,0.0
