variable,grain,block,n_nonnull,pct_missing
land_area_m2,site_month,site_price,4662,1.5
bldg_area_m2,site_month,site_price,1314,72.2
appraisal_mn,site_month,site_price,4576,3.3
min_bid_mn,site_month,site_price,2873,39.3
round_no,site_month,site_price,315,93.3
discount_ratio,site_month,site_price,2853,39.7
base_rate,national_month,rates,4732,0.0
bank_loan_rate_all,national_month,rates,4732,0.0
bank_corp_loan_rate,national_month,rates,4732,0.0
bank_facility_loan_rate,national_month,rates,4732,0.0
nonbank_corp_loan_rate,national_month,rates,4732,0.0
corp_bond_AA3y,national_month,rates,4732,0.0
corp_bond_BBB3y,national_month,rates,4732,0.0
ktb_3y,national_month,rates,4732,0.0
cd_91d,national_month,rates,4732,0.0
cci_total,national_month,cci,4732,0.0
cci_bldg,national_month,cci,4732,0.0
cci_resi,national_month,cci,4732,0.0
cci_nonresi,national_month,cci,4732,0.0
cci_plant,national_month,cci,4732,0.0
cci_civil,national_month,cci,4732,0.0
spread_BBB_KTB,national_month,rates,4732,0.0
spread_AA_KTB,national_month,rates,4732,0.0
base_rate_chg_12m,national_month,rates,4732,0.0
cci_yoy_pct,national_month,cci,4732,0.0
land_chg_pct,site_month,land_house,4732,0.0
land_chg_cum12_pct,site_month,land_house,4732,0.0
house_idx,site_month,land_house,4732,0.0
house_idx_yoy_pct,site_month,land_house,4394,7.1
apt_idx,site_month,land_house,4732,0.0
apt_idx_yoy_pct,site_month,land_house,4394,7.1
vac_office,site_month,commercial,4636,2.0
vac_midlarge,site_month,commercial,4732,0.0
rentidx_office,site_month,commercial,4636,2.0
rentidx_midlarge,site_month,commercial,4732,0.0
yield_office,site_month,commercial,4636,2.0
yield_midlarge,site_month,commercial,4732,0.0
capret_office,site_month,commercial,4636,2.0
capret_midlarge,site_month,commercial,4732,0.0
rtms_land_n,site_month,rtms_land,4732,0.0
rtms_land_med_unit,site_month,rtms_land,4723,0.2
rtms_land_n_3m,site_month,rtms_land,4732,0.0
rtms_land_unit_3m,site_month,rtms_land,4732,0.0
rtms_land_dae_n,site_month,rtms_land,4732,0.0
rtms_land_dae_med_unit,site_month,rtms_land,4666,1.4
rtms_land_dae_n_3m,site_month,rtms_land,4732,0.0
rtms_land_dae_unit_3m,site_month,rtms_land,4732,0.0
rtms_nrg_n,site_month,rtms_nrg,4732,0.0
rtms_nrg_med_unit,site_month,rtms_nrg,4711,0.4
rtms_nrg_n_3m,site_month,rtms_nrg,4732,0.0
rtms_nrg_unit_3m,site_month,rtms_nrg,4730,0.0
rtms_apt_n,site_month,rtms_apt,4732,0.0
rtms_apt_med_unit,site_month,rtms_apt,4731,0.0
rtms_apt_n_3m,site_month,rtms_apt,4732,0.0
rtms_apt_unit_3m,site_month,rtms_apt,4732,0.0
rtms_fac_n,site_month,rtms_fac,4732,0.0
rtms_fac_med_unit,site_month,rtms_fac,3740,21.0
rtms_fac_n_3m,site_month,rtms_fac,4732,0.0
rtms_fac_unit_3m,site_month,rtms_fac,4363,7.8
rtms_land_n_yoy_pct,site_month,rtms_land,4724,0.2
rtms_nrg_n_yoy_pct,site_month,rtms_nrg,4716,0.3
rtms_apt_n_yoy_pct,site_month,rtms_apt,4732,0.0
rtms_fac_n_yoy_pct,site_month,rtms_fac,3791,19.9
unsold_total,site_month,unsold,4377,7.5
unsold_completed,site_month,unsold,4377,7.5
unsold_pct_completed,site_month,unsold,4041,14.6
appr_unit_land_mn_m2,site_month,valuation,4548,3.9
minbid_unit_land_mn_m2,site_month,valuation,2850,39.8
appr_vs_rtms_dae_3m,site_month,valuation,4548,3.9
minbid_vs_rtms_dae_3m,site_month,valuation,2850,39.8
appr_vs_rtms_all_3m,site_month,valuation,4548,3.9
minbid_vs_rtms_all_3m,site_month,valuation,2850,39.8
ap_pms_day,site_const,hub,2568,45.7
ap_stcns_day,site_const,hub,839,82.3
ap_useapr_day,site_const,hub,579,87.8
br_useapr_day,site_const,hub,1249,73.6
stcns_delay_days,site_const,hub,836,82.3
months_permit_idle,site_const,hub,1732,63.4
exited,site_const,exit,4732,0.0
reactivated,site_const,exit,2218,53.1
pms_after_exit,site_const,exit,4732,0.0
stcns_after_exit,site_const,exit,4732,0.0
kfb_understated,site_const,exit,2542,46.3
excess_pp_med,site_month,excess,446,90.6
n_rounds_m,site_month,site_price,446,90.6
hug_sago_sgg_flag,site_const,hug,4732,0.0
hug_sago_n,site_const,hug,1854,60.8
hug_sago_last_yr,site_const,hug,1854,60.8
hug_sago_amt_mn,site_const,hug,1854,60.8
ah_n_pblanc,site_month,applyhome,3877,18.1
ah_supply_sum,site_month,applyhome,3877,18.1
ah_under_ratio,site_month,applyhome,3825,19.2
ah_rate_med,site_month,applyhome,3478,26.5
ah_sale_unit_med,site_month,applyhome,3493,26.2
kiscon_cnt_pub,site_month,kiscon,4732,0.0
kiscon_cnt_indiv,site_month,kiscon,4732,0.0
kiscon_cnt_priv,site_month,kiscon,4732,0.0
kiscon_cnt_all,site_month,kiscon,4732,0.0
kiscon_amt_pub,site_month,kiscon,4732,0.0
kiscon_amt_indiv,site_month,kiscon,4732,0.0
kiscon_amt_priv,site_month,kiscon,4732,0.0
kiscon_amt_all,site_month,kiscon,4732,0.0
kiscon_cnt_priv_yoy_pct,site_month,kiscon,4732,0.0
kiscon_amt_priv_yoy_pct,site_month,kiscon,4732,0.0
