var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,q_fdr
corp_bond_BBB3y,base_rate_chg_12m,798,0.9726919889913007,0.0,0.961438716327778,0.0,True,rates,rates,0.0
cci_nonresi,cci_plant,798,0.9951744197985039,0.0,0.9753540199332674,0.0,True,cci,cci,0.0
corp_bond_AA3y,corp_bond_BBB3y,798,0.9983608206687522,0.0,0.9921996673701854,0.0,True,rates,rates,0.0
corp_bond_AA3y,ktb_3y,798,0.9947205599087283,0.0,0.9797006141155687,0.0,True,rates,rates,0.0
corp_bond_AA3y,cci_resi,798,0.983205750181818,0.0,0.9287333409310092,0.0,False,rates,cci,0.0
corp_bond_AA3y,cci_civil,798,0.9849969360733005,0.0,0.9164208613852775,0.0,False,rates,cci,0.0
corp_bond_AA3y,base_rate_chg_12m,798,0.9774809175443379,0.0,0.9719100834872358,0.0,True,rates,rates,0.0
yield_office,capret_office,777,0.9837407360791732,0.0,0.9727860376456593,0.0,True,commercial,commercial,0.0
base_rate,nonbank_corp_loan_rate,798,0.961405984550304,0.0,0.9413394295840217,0.0,True,rates,rates,0.0
kiscon_cnt_pub,kiscon_cnt_indiv,798,0.9254010780820402,0.0,0.9318051560404019,0.0,True,kiscon,kiscon,0.0
kiscon_cnt_pub,kiscon_cnt_all,798,0.9720768486037219,0.0,0.9644975650619516,0.0,True,kiscon,kiscon,0.0
kiscon_cnt_pub,kiscon_amt_pub,798,0.9256576559470768,0.0,0.9390598753108098,0.0,True,kiscon,kiscon,0.0
corp_bond_BBB3y,ktb_3y,798,0.998606295671987,0.0,0.9932341614775846,0.0,True,rates,rates,0.0
kiscon_cnt_indiv,kiscon_cnt_all,798,0.9831929147134078,0.0,0.9625055837428287,0.0,True,kiscon,kiscon,0.0
corp_bond_BBB3y,cci_resi,798,0.9856943652707455,0.0,0.9439351600575587,0.0,False,rates,cci,0.0
kiscon_cnt_priv,kiscon_cnt_all,798,0.9850043319151225,0.0,0.9572031206154694,0.0,True,kiscon,kiscon,0.0
