var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,abs_r,cluster_boot_p,q_fdr,q_cluster_fdr
rtms_land_n,rtms_land_n_yoy_pct,4724,0.2799163073187206,8.987719455707827e-86,0.5449500650218558,0.0,True,rtms_land,rtms_land,0.5449500650218558,,0.0,
land_chg_cum12_pct,rentidx_midlarge,4732,0.6249433094070078,0.0,0.5703334925467712,0.0,False,land_house,commercial,0.5703334925467712,0.0,0.0,0.0
appraisal_mn,appr_unit_land_mn_m2,4548,0.008211755346212324,0.5798194021385075,0.6362826249433423,0.0,False,site_price,valuation,0.6362826249433423,0.0,0.0,0.0
min_bid_mn,discount_ratio,2853,0.18746314497524616,5.619625775476646e-24,0.7974181454423378,0.0,True,site_price,site_price,0.7974181454423378,,0.0,
rtms_apt_med_unit,rtms_apt_unit_3m,4731,0.5141603934693038,1.2080765e-317,0.5665300126956032,0.0,True,rtms_apt,rtms_apt,0.5665300126956032,,0.0,
kiscon_cnt_priv,kiscon_cnt_all,4732,0.7380039423332172,0.0,0.7409643330016658,0.0,True,kiscon,kiscon,0.7409643330016658,,0.0,
rtms_apt_n,rtms_apt_n_yoy_pct,4732,0.5766956732466899,0.0,0.5854609174531761,0.0,True,rtms_apt,rtms_apt,0.5854609174531761,,0.0,
kiscon_cnt_priv,kiscon_cnt_priv_yoy_pct,4732,0.5546976471984293,0.0,0.5621427128987846,0.0,True,kiscon,kiscon,0.5621427128987846,,0.0,
rtms_apt_n,rtms_apt_n_3m,4732,0.5882189381987962,0.0,0.556197974397843,0.0,True,rtms_apt,rtms_apt,0.556197974397843,,0.0,
min_bid_mn,minbid_unit_land_mn_m2,2849,0.30588772234742284,9.012779416833977e-63,0.8694113224664343,0.0,False,site_price,valuation,0.8694113224664343,0.0,0.0,0.0
rtms_nrg_n,rtms_nrg_n_yoy_pct,4716,0.7056054929865705,0.0,0.6700062158171692,0.0,True,rtms_nrg,rtms_nrg,0.6700062158171692,,0.0,
discount_ratio,minbid_unit_land_mn_m2,2829,0.013677504287359862,0.4671057013413764,0.7325572334205113,0.0,False,site_price,valuation,0.7325572334205113,0.0,0.0,0.0
rtms_land_unit_3m,appr_vs_rtms_all_3m,4548,-0.003434722833437459,0.816871383277851,-0.7005101538713089,0.0,False,rtms_land,valuation,0.7005101538713089,0.0,0.0,0.0
rtms_land_dae_unit_3m,minbid_vs_rtms_dae_3m,2850,-0.013944978270902686,0.45677501428120343,-0.6378564965736362,0.0,False,rtms_land,valuation,0.6378564965736362,0.0,0.0,0.0
rtms_land_dae_unit_3m,appr_vs_rtms_dae_3m,4548,-0.01675339489682983,0.2586454116106095,-0.7276020441375912,0.0,False,rtms_land,valuation,0.7276020441375912,0.0,0.0,0.0
appr_vs_rtms_all_3m,minbid_vs_rtms_all_3m,2845,0.9903629457290256,0.0,0.8067857076546701,0.0,True,valuation,valuation,0.8067857076546701,,0.0,
kiscon_cnt_pub,kiscon_amt_pub,4732,0.6868071759812068,0.0,0.5755232221983109,0.0,True,kiscon,kiscon,0.5755232221983109,,0.0,
house_idx,house_idx_yoy_pct,4394,0.7186402165429628,0.0,0.556725086294292,0.0,True,land_house,land_house,0.556725086294292,,0.0,
house_idx,apt_idx_yoy_pct,4394,0.654256428401786,0.0,0.5430016361014905,0.0,True,land_house,land_house,0.5430016361014905,,0.0,
yield_office,yield_midlarge,4636,0.7697630740998382,0.0,0.8136021554951292,0.0,True,commercial,commercial,0.8136021554951292,,0.0,
yield_office,capret_office,4636,0.920130405677675,0.0,0.8847209742278999,0.0,True,commercial,commercial,0.8847209742278999,,0.0,
kiscon_amt_priv,kiscon_amt_priv_yoy_pct,4732,0.3095941380497672,1.2113029157011182e-105,0.5820496918021293,0.0,True,kiscon,kiscon,0.5820496918021293,,0.0,
kiscon_amt_priv,kiscon_amt_all,4732,0.8822055006667049,0.0,0.8610339145952858,0.0,True,kiscon,kiscon,0.8610339145952858,,0.0,
yield_office,capret_midlarge,4636,0.6804168285551628,0.0,0.7171239247371772,0.0,True,commercial,commercial,0.7171239247371772,,0.0,
appr_vs_rtms_dae_3m,minbid_vs_rtms_dae_3m,2845,0.9116668935369102,0.0,0.8417353359214134,0.0,True,valuation,valuation,0.8417353359214134,,0.0,
house_idx,apt_idx,4732,0.9915147457179023,0.0,0.9914566001658093,0.0,True,land_house,land_house,0.9914566001658093,,0.0,
apt_idx,apt_idx_yoy_pct,4394,0.6659252418147534,0.0,0.5483395374869705,0.0,True,land_house,land_house,0.5483395374869705,,0.0,
yield_midlarge,capret_office,4636,0.5663863348755932,0.0,0.6187042743426064,0.0,True,commercial,commercial,0.6187042743426064,,0.0,
yield_midlarge,capret_midlarge,4732,0.7477130644108054,0.0,0.7836743850886106,0.0,True,commercial,commercial,0.7836743850886106,,0.0,
house_idx_yoy_pct,apt_idx_yoy_pct,4394,0.978521445450763,0.0,0.9730621727492782,0.0,True,land_house,land_house,0.9730621727492782,,0.0,
house_idx_yoy_pct,apt_idx,4394,0.7128707166695576,0.0,0.5559896389531132,0.0,True,land_house,land_house,0.5559896389531132,,0.0,
capret_office,capret_midlarge,4636,0.7375418480698526,0.0,0.7502711395405348,0.0,True,commercial,commercial,0.7502711395405348,,0.0,
rtms_fac_n,rtms_fac_n_yoy_pct,3791,0.5449244514816958,3.162380582048881e-292,0.6340736262245549,0.0,True,rtms_fac,rtms_fac,0.6340736262245549,,0.0,
kiscon_amt_pub,kiscon_amt_all,4732,0.5670375441017288,0.0,0.5342497422859745,0.0,True,kiscon,kiscon,0.5342497422859745,,0.0,
kiscon_cnt_pub,kiscon_cnt_all,4732,0.9117032981571155,0.0,0.8437346299089203,0.0,True,kiscon,kiscon,0.8437346299089203,,0.0,
kiscon_cnt_indiv,kiscon_amt_indiv,4732,0.5249320622820743,0.0,0.5038148896439308,4.207966309998187e-303,True,kiscon,kiscon,0.5038148896439308,,2.816999668637675e-301,
rtms_land_unit_3m,minbid_vs_rtms_all_3m,2850,-0.005055935303599537,0.7873168911792008,-0.6150237065938479,3.092025275220693e-296,False,rtms_land,valuation,0.6150237065938479,0.0,2.0139948414275325e-294,0.0
