macro_var,outcome,n_months,spearman_r,spearman_p,q_fdr
spread_AA_KTB,med_discount,17,-0.9220382338904021,1.428353002159449e-07,1.628322422461772e-05
spread_BBB_KTB,med_discount,17,-0.850307388541314,1.534880790767283e-05,0.0008748820507373513
cci_resi,n_listed,17,-0.6154795799248803,0.008536486024801853,0.3243864689424704
cci_yoy_pct,n_listed,17,-0.5914110429447853,0.012401567556241597,0.35344467535288554
corp_bond_BBB3y,n_listed,17,-0.5567137772326243,0.020277394487375918,0.38955299282676903
base_rate_chg_12m,n_listed,17,-0.5558905649183794,0.020502789096145738,0.38955299282676903
cd_91d,med_discount,17,-0.5418735648595776,0.02464908450562836,0.4014279476630905
corp_bond_AA3y,n_listed,17,-0.5239263803680982,0.030873647687043745,0.4399494795403734
base_rate_chg_12m,med_discount,17,-0.4979122226490492,0.04195582843894415,0.47861217071679235
ktb_3y,n_listed,17,-0.497854170829175,0.04198352374708705,0.47861217071679235
corp_bond_AA3y,med_discount,17,-0.46899947449551743,0.057548816897849346,0.531778123725323
cci_bldg,n_listed,17,-0.4665439798646508,0.05904785452742614,0.531778123725323
nonbank_corp_loan_rate,n_listed,17,0.4469000228177182,0.0721032999176519,0.531778123725323
bank_loan_rate_all,med_discount,17,-0.4462384363086508,0.07257694830063513,0.531778123725323
cci_nonresi,n_listed,17,-0.4410322738383874,0.07638405175460171,0.531778123725323
cci_plant,med_excess,17,0.44076195062951606,0.07658563143108071,0.531778123725323
cci_total,n_listed,17,-0.43243275874961656,0.08298870301206629,0.531778123725323
cci_plant,n_listed,17,-0.43120425659407785,0.08396496690399835,0.531778123725323
cci_civil,n_listed,17,-0.4208588957055215,0.09251866906835711,0.5420556487320489
corp_bond_BBB3y,med_discount,17,-0.41595123335570766,0.09678812370319623,0.5420556487320489
cci_nonresi,med_excess,17,0.41252371980924063,0.09985235634537742,0.5420556487320489
cci_resi,med_discount,17,-0.40381077080316236,0.10795244320033358,0.5593899329471831
bank_facility_loan_rate,rate_bid_reset,16,0.40648011782032395,0.11819745100216528,0.5858482354020367
cci_civil,med_discount,17,-0.3867404043614868,0.1251510620803443,0.5897112471366165
cci_bldg,med_excess,17,0.38036838448457044,0.1320349128731782,0.5897112471366165
cci_total,med_excess,17,0.3781467431584706,0.13449554759256166,0.5897112471366165
nonbank_corp_loan_rate,med_discount,17,-0.36302211302211296,0.15209364383810522,0.6421731628719999
cci_total,med_discount,17,-0.3570990225824008,0.15939390651940893,0.6441633313352475
cci_plant,rate_bid_cut,16,-0.3655122584204905,0.16386611060282613,0.6441633313352475
ktb_3y,med_discount,17,-0.34233154603611343,0.1786176222479302,0.6787469645421348
spread_AA_KTB,med_excess,17,0.3237278352189709,0.20495287777210983,0.7423717134588983
cci_plant,med_discount,17,-0.3171481852883284,0.21484101843924913,0.7423717134588983
bank_facility_loan_rate,rate_bid_cut,16,-0.3254786450662739,0.21864204616871288,0.7423717134588983
cci_yoy_pct,med_discount,17,-0.3069368288583229,0.23078706792997136,0.7423717134588983
cci_civil,med_excess,17,0.29675051561739,0.2474249259879209,0.7423717134588983
base_rate,n_listed,17,0.29126939682187364,0.25668058991007303,0.7423717134588983
cci_total,rate_bid_cut,16,-0.29624179009080087,0.2652416842729978,0.7423717134588983
bank_corp_loan_rate,med_discount,17,-0.2826363253074388,0.27168930807353264,0.7423717134588983
cci_bldg,med_discount,17,-0.2776412776412776,0.2806137257928084,0.7423717134588983
corp_bond_AA3y,rate_bid_cut,16,-0.28718703976435933,0.2808149592198335,0.7423717134588983
cci_yoy_pct,med_excess,17,0.2771306468162403,0.28153596858986496,0.7423717134588983
base_rate,med_excess,17,-0.2712437635627936,0.2923009518939653,0.7423717134588983
corp_bond_BBB3y,rate_bid_cut,16,-0.2796174414099986,0.29424743085781435,0.7423717134588983
spread_BBB_KTB,med_excess,17,0.26470588235294124,0.3045422200057607,0.7423717134588983
cci_nonresi,rate_bid_cut,16,-0.2728616537249525,0.3065527189108057,0.7423717134588983
cci_yoy_pct,rate_reappraisal,16,0.2678440754558934,0.3158846559963728,0.7423717134588983
ktb_3y,med_excess,17,0.2524509803921569,0.32829422956501814,0.7423717134588983
cci_bldg,rate_bid_cut,16,-0.2608696360501082,0.32912755343953026,0.7423717134588983
base_rate,rate_bid_reset,16,0.26071682693979015,0.3294212260489804,0.7423717134588983
cci_nonresi,med_discount,17,-0.25015370428749933,0.3328631373578965,0.7423717134588983
ktb_3y,rate_bid_cut,16,-0.2531273680132619,0.3441959206081651,0.7423717134588983
cci_civil,rate_bid_cut,16,-0.2503681885125184,0.3496588278358556,0.7423717134588983
