macro_var,outcome,n_months,level_rho,level_p,diff_rho,diff_p_raw,note
base_rate,med_discount,17,-0.2252,0.384803,-0.328,0.214934,2025-09 결측: 차분 1개는 2개월 간격
base_rate,n_listed,17,0.2913,0.256681,-0.0821,0.762409,2025-09 결측: 차분 1개는 2개월 간격
spread_AA_KTB,med_discount,17,-0.922,0.0,-0.6843,0.003455,2025-09 결측: 차분 1개는 2개월 간격
spread_AA_KTB,n_listed,17,0.0571,0.827817,0.3257,0.218283,2025-09 결측: 차분 1개는 2개월 간격
spread_BBB_KTB,med_discount,17,-0.8503,1.5e-05,-0.521,0.038523,2025-09 결측: 차분 1개는 2개월 간격
spread_BBB_KTB,n_listed,17,-0.1876,0.470862,0.2137,0.42677,2025-09 결측: 차분 1개는 2개월 간격
ktb_3y,med_discount,17,-0.3423,0.178618,-0.1853,0.492057,2025-09 결측: 차분 1개는 2개월 간격
ktb_3y,n_listed,17,-0.4979,0.041984,-0.0648,0.811549,2025-09 결측: 차분 1개는 2개월 간격
corp_bond_BBB3y,med_discount,17,-0.416,0.096788,-0.3059,0.249254,2025-09 결측: 차분 1개는 2개월 간격
corp_bond_BBB3y,n_listed,17,-0.5567,0.020277,-0.0589,0.828432,2025-09 결측: 차분 1개는 2개월 간격
cci_yoy_pct,med_discount,17,-0.3069,0.230787,-0.3382,0.200066,2025-09 결측: 차분 1개는 2개월 간격
cci_yoy_pct,n_listed,17,-0.5914,0.012402,0.0957,0.724338,2025-09 결측: 차분 1개는 2개월 간격
base_rate_chg_12m,med_discount,17,-0.4979,0.041956,-0.164,0.543944,2025-09 결측: 차분 1개는 2개월 간격
base_rate_chg_12m,n_listed,17,-0.5559,0.020503,-0.3045,0.251506,2025-09 결측: 차분 1개는 2개월 간격
